NA,C50L,C50T,ForestL,ForestT,e1071L,e1071T
Trainning,0.745762711864407,0.964912280701754,0.991150442477876,1,0.986206896551724,0.93
Fold 1,0.631578947368421,0.9375,0.692307692307692,1,0.166666666666667,0.785714285714286
Fold 2,0.833333333333333,1,0.875,1,0,1
Fold 3,0.733333333333333,1,1,1,1,1
Fold 4,0.65,0.928571428571429,0.909090909090909,1,0.666666666666667,0.9
Fold 5,0.565217391304348,0.727272727272727,0.625,0.85,0.428571428571429,1
Fold 6,0.533333333333333,0.888888888888889,0.5,0.9375,0.333333333333333,0.857142857142857
Fold 7,0.722222222222222,0.842105263157895,0.8,0.941176470588235,0.25,0.875
Fold 8,0.882352941176471,0.947368421052632,1,0.947368421052632,0.833333333333333,1
Fold 9,0.8,0.894736842105263,0.769230769230769,0.9375,1,0.909090909090909
Fold 10,1,1,1,1,1,1
CV all,0.735137150207146,0.916644357104883,0.817062937062937,0.961354489164087,0.567857142857143,0.932694805194805
Test,0.736842105263158,0.880952380952381,0.894736842105263,0.945945945945946,0.833333333333333,1
